rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;ips
2018-2019;MARTINIQUE;972;MARTINIQUE;9720733P;ECOLE ELEMENTAIRE A;97219;LE PRECHEUR;public;68.9
2018-2019;MARTINIQUE;972;MARTINIQUE;9720831W;ECOLE PRIMAIRE CAP MARIN;97217;LE MARIN;public;104.4
2018-2019;MARTINIQUE;972;MARTINIQUE;9720834Z;ECOLE ELEMENTAIRE MARIE THERESE GERTRUDE;97209;FORT DE FRANCE;public;87.9
2018-2019;GUYANE;973;GUYANE;9730023M;ECOLE ELEMENTAIRE PONET;97305;MACOURIA;public;72.5
2018-2019;GUYANE;973;GUYANE;9730025P;ECOLE ELEMENTAIRE EMMANUEL BELLONY;97306;MANA;public;59.1
2018-2019;GUYANE;973;GUYANE;9730034Z;ECOLE ELEMENTAIRE D APPLICATION JUST HYASINE;97302;CAYENNE;public;88.3
2018-2019;GUYANE;973;GUYANE;9730038D;ECOLE ELEMENTAIRE D APPLICATION JEAN MACE;97302;CAYENNE;public;108.3
2018-2019;GUYANE;973;GUYANE;9730042H;ECOLE ELEMENTAIRE GAETAN HERMINE;97302;CAYENNE;public;64.0
2018-2019;GUYANE;973;GUYANE;9730045L;ECOLE ELEMENTAIRE EDOUARD CAMAN;97311;SAINT LAURENT DU MARONI;public;63.3
2018-2019;GUYANE;973;GUYANE;9730077W;ECOLE ELEMENTAIRE PRIVEE EXTERNAT SAINT JOSEPH;97302;CAYENNE;privé sous contrat;119.4
2018-2019;GUYANE;973;GUYANE;9730113K;ECOLE ELEMENTAIRE ELISE GIFFARD;97311;SAINT LAURENT DU MARONI;public;58.4
2018-2019;GUYANE;973;GUYANE;9730118R;ECOLE ELEMENTAIRE HENRI AGARANDE;97302;CAYENNE;public;89.3
2018-2019;GUYANE;973;GUYANE;9730148Y;ECOLE ELEMENTAIRE SAINT MICHEL;97307;MATOURY;public;84.8
2018-2019;GUYANE;973;GUYANE;9730164R;ECOLE ELEMENTAIRE EDGARD GALLIOT;97309;REMIRE MONTJOLY;public;106.5
2018-2019;GUYANE;973;GUYANE;9730176D;ECOLE ELEMENTAIRE EUSTASE RIMANE;97304;KOUROU;public;96.4
2018-2019;GUYANE;973;GUYANE;9730181J;ECOLE ELEMENTAIRE DOCTROVEE SOLANGE HULIC;97311;SAINT LAURENT DU MARONI;public;95.8
2018-2019;GUYANE;973;GUYANE;9730198C;ECOLE ELEMENTAIRE MOULIN A VENT;97309;REMIRE MONTJOLY;public;99.5
2018-2019;GUYANE;973;GUYANE;9730212T;ECOLE ELEMENTAIRE STEPHAN PHINERA HORTH;97302;CAYENNE;public;121.1
